คู่มือความหมายไพ่ท้าวเวสสุวรรณราชา (ใบที่ ๓๑ - ๔๐)
ลำดับที่ / ชื่อไพ่	ตำนาน/ที่มาของหน้าไพ่	คำทำนายทั่วไป	การงาน	การเงิน	ความรัก	สุขภาพ	การเสริมดวงชะตา
๓๑. ไพ่เสด็จมนุสสภูมิ	ท้าวเวสสุวรรณและจตุโลกบาลเสด็จลงมาตรวจโลกมนุษย์ทุกวันพระ 15 ค่ำ ถือแผ่นทองคำและดินสอชาติหิงคุละจดรายชื่อผู้กระทำความดีเพื่อนำไปรายงานบนสวรรค์	ไม่ชอบอยู่กับที่ นักผจญภัย ชอบเรียนรู้สิ่งใหม่ กล้าได้กล้าเสีย รักอิสระ ทะเยอทะยาน แข็งนอกอ่อนใน อ่อนไหวต่อความรู้สึก มักจะได้ดีเมื่ออยู่ไกลบ้าน/ต่างถิ่นจะมีความมั่นคง	มีแบบแผนเป็นขั้นตอน มีเกณฑ์เดินทาง (ในประเทศ/ต่างประเทศ) ไปศึกษาดูงานต่อยอด หรือรับหน้าที่สาขาต่างจังหวัด เด่นด้านภาษา เดินทาง ประสานงาน ขนส่ง ท่องเที่ยว สิ่งที่รอจะสำเร็จเร็วสุด 2 สัปดาห์ ช้าสุด 2 ปี	วางแผนการเงินเป็นขั้นเป็นตอนดี ไม่ฟุ้งเฟ้อ แต่การเดินทางมักมีค่าใช้จ่ายเกินแผน ให้เตรียมเงินสำรองให้พอ โชคลาภลอยจากการเดินทางทำบุญต่างถิ่น เลขทะเบียนรถ ให้ซื้อลอตเตอรี่กับคนที่ขับรถมาขายเท่านั้น	ไม่ค่อยอยู่กับที่ ไม่มีเวลาให้ครอบครัว หอบงานมาทำบ้าน กำลังวางแผนพาครอบครัวเที่ยวต่างจังหวัด/ต่างประเทศ คนโสดไม่ควรมีใครเพราะระยะทางและเวลาจะเป็นอุปสรรค	ภูมิคุ้มกันตก ภูมิแพ้ ตุ่มใสตามผิวหนัง สิว หรืออาการผิวหนังอื่นๆ ที่แสดงออกภายนอกร่มผ้า	ทำบุญกับเด็กด้อยโอกาส มอบทุนการศึกษา แจกหนังสือเรียน
๓๒. ไพ่โปรดพระนางนันทมารดา	ท้าวเวสสุวรรณเจอพระนางนันทมารดาเก็บข้าวเข้ายุ้งระหว่างทางไปฟังธรรม จึงให้บริวารช่วยจนเดินทางล่าช้า ทรงอนุโมทนานางสวดปารายนสูตรและบอกให้เตรียมภัตตาหารถวายคณะสงฆ์	รักและเมตตาเพื่อนร่วมโลก มองโลกแง่ดี ชอบช่วยคนด้อยกว่า อยู่เบื้องหลังความสำเร็จผู้อื่น มีภาวะผู้นำ ความคิดผู้ใหญ่ สนทนาด้วยแล้วติดใจ ไม่ชอบอยู่กับที่ ออกนอกบ้านตลอด	มีภาวะผู้นำ คิดล้ำหน้าแต่ทำช้าเพราะผลักดันลูกทีมให้สำเร็จก่อน เป็นผู้นำที่ดีรู้ว่าใครทำอะไรได้ ได้เดินทางศึกษาดูงาน/เป็นตัวแทนบริษัทต่างถิ่น เด่นงานผู้กำกับ สื่อ เบื้องหลัง ครู นักการเมือง	วางแผนรายจ่ายดี ลดรายจ่ายได้ (ประหยัด) การเดินทางจะได้กลับมาทดแทน (เบิกบริษัทได้) สภาวะการเงินเกณฑ์ดี ดีขึ้นช้าๆ มีรายรับจากอาชีพเสริม โชคลาภซื้อกับผู้หญิงที่นั่งขายหน้าร้านอาหาร	พบคนถูกใจโดยบังเอิญแต่เหมือนรู้จักมานาน สนิทสนมไว ใช้ชีวิตคู่มั่นคงเติบโตช้าๆ คนมีคู่มั่นคงในสถานะ แต่จะเติบโตช้าๆ (เช่น วางแผนเก็บเงิน 3-5 ปีก่อนแต่งงาน)	ไขข้อ กระดูก อาการรองช้ำ อาการอักเสบ แนะนำให้ยืดเส้นสายบ่อยๆ หรือออกกำลังกายเบาๆ ไม่หักโหม	ทำสังฆทาน ทำบุญเลี้ยงพระ ตักบาตร ปลูกต้นไม้มงคลที่บ้านเสริมการเงินและความมั่นคง
๓๓. ไพ่ท้าวเวสสุวรรณแสดงธรรม	พระนางอสันธิมิตตากังวลเรื่องหาผ้าไตร 60,000 ผืน ท้าวเวสสุวรรณจึงลงมาบอกอานิสงส์ที่นางเคยถวายผ้าเช็ดหน้าแต่ชาติก่อน แล้วมอบผอบแก้วชักผ้าไตรได้ไม่รู้จบให้	วิตกกังวลในเรื่องใดเรื่องหนึ่ง มีคนทำให้เสียใจ แต่วางใจได้ทุกปัญหามีทางออก อย่ากังวลล่วงหน้า จะมีคนยื่นมือเข้ามาช่วยเหลือในเวลาที่เหมาะสม ไพ่ใบนี้เป็นไพ่ที่ดี	วิตกกังวลเรื่องที่ต้องรับผิดชอบ มีคนกดดัน (คู่แข่ง ประเมิน แข่งกับเวลา) มีความรู้แต่ไม่มั่นใจศักยภาพตัวเอง ให้ทำเต็มที่ผลจะน่าพอใจ สิ่งที่คาดหวังรอคอยจะได้ในท้ายที่สุด	กดดันเรื่องเงิน มีรายจ่ายต้องจ่ายกะทันหัน (เช่น รายจ่ายครัวเรือน 60,000 บาท) จะมีคนยื่นมือช่วย (แนะนำขอความช่วยเหลือชายผิวขาว/สีน้ำผึ้งออกขาว) โชคลาภลอยแบบไม่ทันตั้งตัว	ร้อนใจเรื่องสัมพันธ์ ทะเลาะเรื่องเงิน/คนรักนำปัญหามาให้ ขาดอิสรภาพ ปัญหามีทางออกให้ตกลงและตั้งเป้าหมายไปทิศทางเดียวกัน คนโสดควรโสดไปก่อน (ระวังปัญหาไม่รักษาน้ำใจ/คำพูดรุนแรง)	นอนไม่หลับ ไมเกรน โรคเครียด ซึมเศร้า แนะนำให้ออกกำลังกาย โยคะคลายความเครียดเป็นประจำ	ทำบุญถวายผ้าไตรจีวร 6 สำรับ (แบ่งทำ 6 เดือน เดือนละ 1 สำรับ) เสริมคนรัก คนอุปถัมภ์ค้ำชูไม่ขาด
๓๔. ไพ่เสด็จเทวธรรมสภา	ท้าวเวสสุวรรณนำบัญชีคนทำดี-ชั่วส่งมาตุลีเพื่อหารือในเทวธรรมสภา หากคนทำดีมากเทวดาจะสาธุการยินดี หากทำชั่วมากเทวดาจะเศร้าโศกเสียใจ	ตรงไปตรงมา มั่นใจตัวเอง รักอิสระ ไม่อยู่กับที่ ไม่รับพลังงานลบ ไม่ใส่ใจเรื่องไร้สาระ พร้อมตัดขาดคนที่พูดจาสาดเสียเทเสียใส่ ตั้งใจชัดเจน ไพ่นี้คือระยะยาว (มากกว่า 2 สัปดาห์)	ตั้งใจปฏิบัติหน้าที่/วางแผน ผลออกมาน่าพอใจ ทำงานไม่ได้พัก (โหมงาน/หลับตาเดินทาง) ควรพักผ่อนและทำเท่าที่จำเป็น	รายจ่ายเรื่องเดินทาง การทำงาน การศึกษา (ซื้อหนังสือ/ลงทุน) รายจ่ายมาพร้อมกันจนหมุนไม่สะดวก/เบียดเบียนเงินเก็บ การกู้หนี้ยืมสินพิจารณานานกว่า 2 สัปดาห์ โชคลาภมีแต่ซื้อขึ้นซื้อลง	โฟกัสเรื่องงานมากกว่าหัวใจ คิดสร้างตัวเองให้มั่นคงพร้อมแล้วค่อยมีแฟน คนมีคู่ไม่มีเวลาให้กัน มีเหตุให้ห่างกันกายหรือใจ ควรชี้แจงเหตุผลไม่ให้เข้าใจผิด	แพนิค นอนไม่หลับ สายตา หากติดกาแฟ/เครื่องดื่มกาเฟอีนให้ลดลง ดื่มน้ำเปล่าเยอะๆ	บูชาพระปิดตา พระแก้วมรกต พระพุทธชินราช เสริมดวงความคล่องตัวธุรกิจและโชคลาภ
๓๕. ไพ่ประทับภัทรบิฐ	ท้าวเวสสุวรรณบรรทมเสวยสุขบนภัทรบิฐในสวน เทวดาสวรรค์ชั้นกามาวจรภูมิมี "สุขพหุลา" (เพียบพร้อมความสุขสำราญทุกเมื่อ) พรรณนาพันธุ์ไม้ร่มรื่น สื่อถึงที่ผ่อนคลายชั้นเลิศ	อยู่ในช่วงพักผ่อน ขี้เกียจ ไม่พร้อมทำอะไรเพราะเหนื่อยสะสม เรียบง่าย ไม่ชอบอะไรยุ่งยาก เป็นกันเอง อยากทำสิ่งใดจะทำเองจริงๆ ไม่ชอบให้ใครออกคำสั่ง	มีแบบแผนตามใจ ไม่ชอบให้ใครสั่ง (ถ้าสั่งจะทำช้า/ไม่ทำ) ชอบทางลัด ไม่ชอบคำนวณ เน้นเจรจา/บริหาร สภาวะงานไปช้าๆ ตามอารมณ์แต่เสร็จทัน อาชีพเด่น: บริการ โรงแรม ท่องเที่ยว ค้าขาย ผับบาร์ บันเทิง	รายจ่ายเยอะกว่าอดีต ซื้อเครื่องอำนวยความสะดวก (มือถือ แล็ปท็อป สั่งอาหาร) ไม่มีเงินเก็บ ถ้าจะสร้างตัวต้องระวังรายจ่าย โชคลาภไม่เด่น แต่จะได้เป็นอสังหาฯ และสังหาริมทรัพย์แทน	มีความสุขกับตัวเอง ยังไม่ต้องการใครเติมเต็มเพราะหาความสุขเองได้ คนมีคู่ระวังทะเลาะเรื่องงานบ้าน (ติดนอน ขี้เกียจ งอนบ่อย) ควรปรับพฤติกรรมพาคนรักเดตเปลี่ยนบรรยากาศ	น้ำหนักขึ้น น้ำตาลในเลือดสูง ความดันสูง กล้ามเนื้อแขนขาอ่อนแรง ออกกำลังกายเป็นประจำ	ไหว้พระนอน พระพิฆเนศปางเสวยสุข ทำบุญ รพ.สงฆ์ สร้างศูนย์ปฏิบัติธรรม/กุฏิถวายพระสงฆ์
๓๖. ไพ่บูชาสุรารักษ์	สะท้อนความเชื่อชาวสายมูเซ่นสรวงสักการะเทวดา เป็นที่พึ่งทางใจคนยากยุคหลังโควิดธุรกิจสายมูเกิดใหม่ เทวดาท่านจัดสรรทุกอย่างล้วนเป็นผลของกรรม	ซับซ้อน ภายนอกดูนิ่ง ภายในใจยุ่งเหยิง คิดมาก วิตกกังวลสูง กำลังหาที่พึ่งทางใจ จุดเด่นคือมีความสุขเมื่อได้ช่วยผู้อื่นคลายทุกข์ (เข้าใจความทุกข์ดี)	กังวลหน้าที่การงาน สภาวะนิ่ง/ไปต่อไม่ไหว (ยอดขายไม่เพิ่ม ลูกค้าปฏิเสธ คู่แข่งโต) ล้วนมีเหตุมาจากอดีต (ระบบผิดพลาด) ต้องหารือทีมงานแก้ไข ธุรกิจใหม่ให้เตรียมแผนสำรอง 1 2 3	รายรับมาช้า/ไม่เต็มเม็ดเต็มหน่วย หากใช้เงินด่วนต้องวางแผน โชคลาภยังไม่มี เสียทรัพย์กับเรื่องสื่อออนไลน์ ลงทุนไม่ได้ผล เช่าวัตถุมงคลเกินจำเป็น	โลกส่วนตัวสูงเข้าถึงยาก ไม่พร้อมเปิดใจ/ถ้าเปิดใจก็ไม่มีใครเข้ามา ต้องโสดไปก่อน คนมีคู่ยังไม่มีอะไรแปลกใหม่ ปัญหาเดิมๆ ถ้ารู้สึกเบื่อ/รำคาญไม่ควรพูดเพราะจะเสียบรรยากาศ	คอ จมูก ปอด ระบบหายใจ หมั่นทำความสะอาดบ้านเรือนอย่าให้มีฝุ่น/มลพิษทำลายระบบหายใจ	ทำบุญของสวยงาม ของหอม (บายศรี น้ำอบ น้ำปรุง) บวงสรวงสักการะเทวดา ไหว้ครูอาจารย์ เสริมกิจการราบรื่น
๓๗. ไพ่อวิชชาอาคม	สะท้อนความเชื่อศาสนาผี/พิธีกรรมอีสานและภาคเหนือ ไหว้ผีสาง เจ้ากรรมนายเวร ผีเด็กทำแท้ง พ่อแม่เกิดจากอดีตชาติ ความเชื่อที่มีผลตอบรับไปในทิศทางเดียวกัน	ตั้งใจ/ตั้งมั่นในปณิธาน มั่นใจตัวเอง เก่งทั้งโลกและอวิชชา ชอบศึกษาศาสนา/ไสยศาสตร์ ลางสังหรณ์แม่น สื่อกลางมนุษย์กับสวรรค์ สื่อสารเก่ง อาจฝันถึงวิญญาณขอส่วนบุญบ่อยเพราะช่วยเขาได้	ขะมักเขม้นทำงาน ความรู้วิชาชีพแน่น เป็นที่รักและที่พึ่งในที่ทำงาน (เสาหลักบริษัท) ธุรกิจเติบโตดีแต่มีอุปสรรคเรื่องบริวารขอความช่วยเหลือบ่อย (โดยเฉพาะเรื่องเดิมๆ)	วางแผนเก็บเงินเพื่อใช้จ่ายเรื่องจำเป็น/สิ่งที่ต้องการสำเร็จ (แม้มูลค่ามาก) เตรียมรับมือคนรอบข้าง/ญาติขอยืมเงิน (ให้ช่วยเท่าที่ไหว) โชคลาภจากสิ่งลี้ลับ/ฝัน/เลขทำบุญ เสี่ยงกับคนขายหน้าวัด/ศาลเจ้า	รักทุกคนไม่เลือกปฏิบัติ (แบบพี่น้อง) ไม่มุ่งหวังรักทางโลก คนมีคู่รักกันดีเป็นพิเศษ ทุ่มเท จะมีการเข้าไปช่วยเหลือญาติอีกฝ่าย (ให้เตรียมเงินทองไว้ด้วย)	ระบบย่อยอาหาร ระบบสืบพันธุ์ หญิงประจำเดือนไม่ปกติ หากมีอาการรุนแรงให้พบแพทย์เฉพาะทาง	ทำบุญกับเด็กด้อยโอกาส ทำบุญเด็กทำแท้ง จะทำให้บริวารมาก เป็นที่รักและคนสนับสนุน
๓๘. ไพ่เดชาพญายักษ์	ชายนุ่งขาวไหว้เศียรท้าวเวสสุวรรณ(เศียรครู) ท้าวเวสสุวรรณเสด็จประทานพรในรูปแบบจิตที่มองไม่เห็น พลังศรัทธาทำให้รู้ว่าท่านอยู่เคียงข้าง เปรียบเหมือนบุญบาปหรืออากาศที่มองไม่เห็นแต่มีอยู่จริง	ศรัทธา จริงใจ ปากตรงกับใจ ไม่คิดร้ายใครแม้เขาทำไม่ดีตอบ ชอบฟังธรรมนำไปสอนผู้อื่น ที่พึ่งทางใจให้คน ปัญญา(เศียรครู)หากมีแล้วไม่นำมาใช้แก้ปัญหาก็เปล่าประโยชน์	ความสามารถเป็นที่จับตามอง บุคลิกชัดเจนคนจดจำได้ (มีแต่คนรู้จัก) ถูกจับตาประเมินพฤติกรรม (ให้ขยันทำตัวดีๆ) เด่นงานสอน สื่อสาร ความเชื่อ สร้างชื่อเสียง/รายได้ดีกว่าลูกจ้าง	วางแผนใช้จ่ายเพื่อลงทุนธุรกิจ/เก็งกำไรได้ผลตอบแทน ระวังเล็งของมีค่าที่เสื่อมราคา/ไม่ให้ค่าตอบแทน ให้เลื่อนโปรเจกต์นี้ไปก่อนเดี๋ยวการเงินสะดุด โชคลาภวาสนาเสี่ยงโชคได้ใหญ่	รักเดียวใจเดียว มั่นคงในรัก ระแวงคิดมากไปเอง (แต่ไม่มีปัญหา) คนโสดเป็นที่หมายปองของใครบางคน พยายามทำตัวให้สดใสเสมอ มีเกณฑ์สละโสด	เข่า กระดูก ฟัน ดื่มนมเสริมแคลเซียม ออกกำลังกายสม่ำเสมอ งดน้ำอัดลม/ผลไม้ที่มีน้ำตาลสูง	ปัดกวาดบ้าน ทำความสะอาดหิ้งพระเสมอ เสริมโชคลาภวาสนา ได้รับโอกาสดีๆ เข้ามาหลายทาง
๓๙. ไพ่ท้าวชนวสภยักษ์	อดีตพระเจ้าพิมพิสาร บริวารสหายสนิทท้าวเวสสุวรรณ ส่งสาร/รับสาร ฟังธรรมจนบรรลุโสดาบันแต่ยังเลือกอุบัติในจาตุมหาราชิกาเพราะเคยชินและเป็นสหายสนิท	มีสังคมหลากหลาย ขาดเพื่อนไม่ได้ ภาวะผู้นำสูงรับงานสำคัญ ได้ใกล้ชิดคนมีชื่อเสียง ชอบช่วยผู้อื่น บริวารพนมมือเคารพสื่อถึงการมีเกียรติ ให้คำแนะนำคนอื่นได้ดี	ทักษะสื่อสารเป็นเลิศ เจรจาธุรกิจสำเร็จแน่นอน ได้รับความไว้วางใจเป็นตัวแทนบริษัทต่อรอง/ทำข้อตกลง ประสบความสำเร็จและได้รับคำชมเชยในงาน	ไม่ขัดสนเงินทอง ไม่ค่อยใส่ใจเรื่องนี้เป็นพิเศษเพราะรู้รายรับรายจ่ายตัวเองดี มีเหตุผลเวลาทำธุรกรรม การลงทุนได้กำไรตามคาดหวัง/เวลา เสี่ยงโชคได้ เลขจากบริวารผู้ชาย	เป็นหัวหน้าครอบครัวแบกรับภาระคาดหวังได้ดี คนข้างหลังไม่ลำบาก คนโสดไม่ต้องการคบจริงจัง (รอจัดการงาน) หรือไม่ว่างเพราะผู้บังคับบัญชาเพ่งเล็ง/งานยุ่งมาก	สุขภาพร่างกายแข็งแรง ไม่มีอะไรน่ากังวล	ทำศัลยกรรมใบหน้า ทำบุญวัดบนเขา/ถ้ำ นั่งสมาธิ สวดมนต์ กรวดน้ำให้เจ้ากรรมนายเวร
๔๐. ไพ่นางพญายักษิณี	แนวคิดจากนางพันธุรัตน์/ผีเสื้อสมุทร รอคอยการยอมรับจากสังข์ทอง/พระอภัยมณี สื่อถึงการรอคอยอย่างมีความหวัง รักที่ไม่เปลี่ยนแปลงแม้วันเวลาผ่านเลยไปนาน	ไม่ได้ลำบาก/ยากจน ใช้ชีวิตเรียบง่ายติดดิน ทำทุกอย่างด้วยตัวเอง ต้องการการยอมรับ/เอาชนะใจ รักจริงเกลียดแรง คาดหวังรอคอยเรื่องใดเรื่องหนึ่งอย่างใจจดจ่อ (เป็นจุดเปลี่ยนชีวิต) แนะนำใจเย็นๆ	วิ่งทำผลงานให้เป็นที่ยอมรับ มีผลงานการันตีคุณภาพ คู่แข่งศักยภาพใกล้เคียง (ต้องขยันพัฒนางาน) ธุรกิจที่ทำอยู่อาจยังทำอะไรไม่ได้มาก รอจังหวะเหมาะสมจะดีกว่า	คาดหวังรอคอยเรื่องการเงิน (ลูกหนี้/เงินปันผล/เงินเดือน/ข่าวสาร) ช่วงนี้จะถูกเลื่อนออกไป ยังไม่สำเร็จทันที ต้องรอเวลา (หากรอลูกหนี้ก็ต้องทักท้วงตามเวลา)	รักใครรักจริง คาดหวังให้เขาสนใจเหมือนที่เราสนใจ ไม่ควรรอนานจะพลาดโอกาส คนมีคู่น้อยใจเรื่องเดิมๆ ที่เคยคุยกันมาแล้วแต่ทำใจยอมรับไม่ได้ แนะนำใจเย็นและนิ่งให้มากที่สุด	มดลูก เต้านม เครียด ซึมเศร้า นอนไม่หลับ (ไม่รุนแรงมาก) พักผ่อนให้พอ อย่าใจร้อนวู่วามเพราะอาจเกิดภาวะหัวใจเต้นผิดปกติ	ทำบุญกับบุพการี หรือพาครอบครัวไปเที่ยวทำบุญในเทศกาลต่างๆ ถือโอกาสผ่อนคลายด้วย
